Image,Inferences,Infered class,Expected class,Average Inference Time (ms),Average energy spent (J),Average power (W)
/share/kbench/imagenet/tflite/persian_cat/n02123394_3329.bmp,10,persian cat (56.47%) ,persian_cat,333.092,0.9453194999999974,2.8376657411342396
/share/kbench/imagenet/tflite/persian_cat/n02123394_3152.bmp,10,persian cat (100.00%),persian_cat,331.752,0.9434214999999997,2.8436154690147997
/share/kbench/imagenet/tflite/persian_cat/n02123394_6048.bmp,10,persian cat (51.37%) ,persian_cat,327.137,0.9340540000000013,2.854925568976285
/share/kbench/imagenet/tflite/persian_cat/n02123394_1292.bmp,10,persian cat (100.00%),persian_cat,327.097,0.9347685000000021,2.8579821161692176
/share/kbench/imagenet/tflite/persian_cat/n02123394_5905.bmp,10,persian cat (85.49%) ,persian_cat,327.753,0.9374930000000047,2.8610853190953685
/share/kbench/imagenet/tflite/persian_cat/n02123394_6099.bmp,10,persian cat (88.63%) ,persian_cat,329.21,0.9453450000000003,2.870771333130885
/share/kbench/imagenet/tflite/persian_cat/n02123394_1826.bmp,10,persian cat (100.00%),persian_cat,327.847,0.9382740000000002,2.862336790726053
/share/kbench/imagenet/tflite/persian_cat/n02123394_3786.bmp,10,persian cat (98.82%) ,persian_cat,327.944,0.9454124999999989,2.8823199983565333
/share/kbench/imagenet/tflite/persian_cat/n02123394_511.bmp,10,persian cat (98.82%) ,persian_cat,328.359,0.9403415000000012,2.8651443656398032
/share/kbench/imagenet/tflite/persian_cat/n02123394_1310.bmp,10,persian cat (100.00%),persian_cat,328.232,0.940776500000001,2.866473187081051
/share/kbench/imagenet/tflite/persian_cat/n02123394_513.bmp,10,persian cat (92.16%) ,persian_cat,327.151,0.9389780000000043,2.868924358654096
/share/kbench/imagenet/tflite/persian_cat/n02123394_731.bmp,10,persian cat (100.00%),persian_cat,327.681,0.9395180000000044,2.867639004380983
/share/kbench/imagenet/tflite/persian_cat/n02123394_10157.jpeg.bmp,10,persian cat (81.57%) ,persian_cat,328.126,0.9415820000000024,2.870055601412978
/share/kbench/imagenet/tflite/persian_cat/n02123394_3183.bmp,10,persian cat (99.61%),persian_cat,327.847,0.9405640000000004,2.8693227577791345
/share/kbench/imagenet/tflite/persian_cat/n02123394_4299.bmp,10,persian cat (87.06%) ,persian_cat,327.745,0.941787999999999,2.872870162561177
/share/kbench/imagenet/tflite/persian_cat/n02123394_3179.bmp,10,persian cat (100.00%),persian_cat,326.613,0.9382855000000008,2.873114150224946
/share/kbench/imagenet/tflite/persian_cat/n02123394_10136.bmp,10,persian cat (97.25%) ,persian_cat,328.116,0.9427479999999997,2.8733556842426085
/share/kbench/imagenet/tflite/persian_cat/n02123394_9083.bmp,10,persian cat (72.55%) ,persian_cat,330.425,0.9473850000000006,2.8663529390560902
/share/kbench/imagenet/tflite/persian_cat/n02123394_619.bmp,10,persian cat (100.00%),persian_cat,331.441,0.9503025000000023,2.867356719053137
/share/kbench/imagenet/tflite/persian_cat/n02123394_5938.bmp,10,persian cat (100.00%),persian_cat,331.417,0.9498840000000012,2.866626755527823
/share/kbench/imagenet/tflite/persian_cat/n02123394_1814.bmp,10,persian cat (100.00%),persian_cat,332.984,0.9541719999999989,2.8651387631328986
/share/kbench/imagenet/tflite/persian_cat/n02123394_1594.bmp,10,persian cat (89.80%) ,persian_cat,333.153,0.9564600000000025,2.8702421938465186
/share/kbench/imagenet/tflite/persian_cat/n02123394_6265.bmp,10,persian cat (55.29%) ,persian_cat,327.237,0.9421159999999975,2.87994371026128
/share/kbench/imagenet/tflite/persian_cat/n02123394_2227.bmp,10,persian cat (99.61%),persian_cat,328.065,0.9432819999999976,2.874366398697792
/share/kbench/imagenet/tflite/persian_cat/n02123394_7008.bmp,10,persian cat (48.63%) ,persian_cat,328.308,0.9448734999999984,2.878658992725698
/share/kbench/imagenet/tflite/persian_cat/n02123394_1286.bmp,10,persian cat (79.22%) ,persian_cat,328.948,0.9466104999999979,2.8781103678929703
/share/kbench/imagenet/tflite/persian_cat/n02123394_5921.bmp,10,persian cat (100.00%),persian_cat,327.532,0.942184499999998,2.876021062271056
/share/kbench/imagenet/tflite/persian_cat/n02123394_3889.bmp,10,persian cat (95.29%) ,persian_cat,327.6,0.9427489999999988,2.8777442002441966
/share/kbench/imagenet/tflite/persian_cat/n02123394_3225.bmp,10,persian cat (34.90%) ,persian_cat,328.244,0.9454229999999997,2.88063071297989
/share/kbench/imagenet/tflite/persian_cat/n02123394_2788.bmp,10,persian cat (100.00%),persian_cat,322.867,0.9314464999999974,2.8842907837985114
/share/kbench/imagenet/tflite/persian_cat/n02123394_8212.bmp,10,persian cat (86.27%) ,persian_cat,327.398,0.9432239999999993,2.8813614149276368
/share/kbench/imagenet/tflite/persian_cat/n02123394_2457.bmp,10,persian cat (87.84%) ,persian_cat,327.551,0.9433074999999974,2.879603749503915
/share/kbench/imagenet/tflite/persian_cat/n02123394_4385.bmp,10,persian cat (100.00%),persian_cat,327.921,0.944569500000001,2.8814259978734285
/share/kbench/imagenet/tflite/persian_cat/n02123394_2969.bmp,10,persian cat (100.00%),persian_cat,327.514,0.944240499999997,2.8827062612253647
/share/kbench/imagenet/tflite/persian_cat/n02123394_4713.bmp,10,persian cat (100.00%),persian_cat,327.876,0.945063499999997,2.8820994836466163
/share/kbench/imagenet/tflite/persian_cat/n02123394_1914.bmp,10,persian cat (98.82%) ,persian_cat,327.857,0.944255999999996,2.8811640292124583
/share/kbench/imagenet/tflite/persian_cat/n02123394_2545.bmp,10,persian cat (100.00%),persian_cat,328.057,0.945288999999995,2.8811002743065988
/share/kbench/imagenet/tflite/persian_cat/n02123394_2721.bmp,10,persian cat (87.84%) ,persian_cat,328.427,0.9466094999999932,2.8824893422655093
/share/kbench/imagenet/tflite/persian_cat/n02123394_240.bmp,10,persian cat (87.06%) ,persian_cat,327.869,0.9450119999999949,2.8812053460972256
/share/kbench/imagenet/tflite/persian_cat/n02123394_8172.bmp,10,persian cat (100.00%),persian_cat,327.811,0.945406999999995,2.8843416920976415
/share/kbench/imagenet/tflite/persian_cat/n02123394_2555.bmp,10,persian cat (99.22%) ,persian_cat,328.72,0.9473144999999958,2.882489986278409
/share/kbench/imagenet/tflite/persian_cat/n02123394_4712.bmp,10,persian cat (98.82%) ,persian_cat,327.645,0.9445179999999974,2.882264266097032
/share/kbench/imagenet/tflite/persian_cat/n02123394_3014.bmp,10,australian terrier (22.35%) ,persian_cat,330.82,0.9519159999999971,2.877097878492912
/share/kbench/imagenet/tflite/persian_cat/n02123394_3808.bmp,10,guinea pig (32.94%) ,persian_cat,332.814,0.9567754999999961,2.8752104970887564
/share/kbench/imagenet/tflite/persian_cat/n02123394_1307.bmp,10,persian cat (98.82%) ,persian_cat,333.252,0.957467499999997,2.8729759729383395
/share/kbench/imagenet/tflite/persian_cat/n02123394_6551.bmp,10,persian cat (100.00%),persian_cat,332.593,0.9578654999999934,2.8801835134473848
/share/kbench/imagenet/tflite/persian_cat/n02123394_2131.bmp,10,persian cat (100.00%),persian_cat,332.039,0.9539434999999958,2.872943939341121
/share/kbench/imagenet/tflite/persian_cat/n02123394_2562.bmp,10,lynx (36.47%) ,persian_cat,329.33,0.948660499999993,2.8806489425733504
/share/kbench/imagenet/tflite/persian_cat/n02123394_2507.bmp,10,persian cat (68.24%) ,persian_cat,328.282,0.9466064999999964,2.8835874434659337
