Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,21543.29212962963,233.7886635346473,0.06351059259259259,0.001897971961199819,2.949315084617473,0.06063228428578335
DEPTHWISE_CONV_2D,31507.257407407407,120.99080712224908,0.08395735185185185,0.0016248746251623755,2.6640126921817027,0.024554382582964954
CONV_2D,25037.79537037037,429.53322617228804,0.07783707870370371,0.0016220530995299186,3.1092202214151206,0.029456887293178663
DEPTHWISE_CONV_2D,14291.702777777778,65.21367721565511,0.03989223611111111,0.0012811205128033887,2.791913144927425,0.030831589076041173
CONV_2D,14726.93611111111,252.79612923311723,0.04751857175925926,0.0014684714068133528,3.226944450867395,0.03596241980041658
DEPTHWISE_CONV_2D,26592.885185185187,98.98215684209883,0.07150478703703704,0.0015424335107881739,2.6883318003576195,0.0241529294933679
CONV_2D,19013.036111111112,314.793178122214,0.061201611111111116,0.0014080715886507448,3.2200140198300367,0.031953173734206614
DEPTHWISE_CONV_2D,7041.915740740741,62.70589295663,0.02103966666666667,0.0007003734651889239,2.984346992778063,0.04349621972011866
CONV_2D,9756.70324074074,145.29420468629684,0.03326540046296297,0.0012703690278593187,3.4113500424302274,0.05295645001205642
DEPTHWISE_CONV_2D,12792.393055555556,44.66498388120189,0.03613052083333333,0.0013008500940379583,2.8260315255494763,0.037847160944799244
CONV_2D,14657.850462962962,251.70392908425632,0.04927468287037037,0.001500193970138498,3.3615619166354236,0.04148795723309199
DEPTHWISE_CONV_2D,3294.824074074074,33.85093376459878,0.01145944212962963,0.0013425384163698252,3.49465699999499,0.12640186818302537
CONV_2D,7031.011111111111,140.7659827997526,0.02452446527777778,0.000961882523770501,3.488917042149645,0.06142662898089562
DEPTHWISE_CONV_2D,6075.406481481482,46.37195187776077,0.019019733796296297,0.0009081011864234824,3.1290188791565527,0.06787345962814402
CONV_2D,12075.035185185185,172.5716911223204,0.040501615740740744,0.0010118301764864127,3.3578354066370677,0.03736571529104034
DEPTHWISE_CONV_2D,5895.7138888888885,41.438101894032826,0.018329564814814816,0.0009510321490763693,3.104022116478799,0.06725881699724447
CONV_2D,12071.521296296296,205.95666010781022,0.04139455092592593,0.001095749778056219,3.4303242363244197,0.04040259093875059
DEPTHWISE_CONV_2D,6132.824074074074,43.65098927725925,0.019003303240740742,0.0011151953836405536,3.0958880853827933,0.06959963388135944
CONV_2D,12015.395833333334,178.54950366891717,0.0405555462962963,0.0010576475370705817,3.375445466661367,0.040205222576924035
DEPTHWISE_CONV_2D,5989.012037037037,41.21529790060561,0.018592175925925925,0.0006397537044702453,3.1063317185156847,0.06845483864975985
CONV_2D,12075.303703703703,152.1282882878582,0.0414498125,0.00101075409579114,3.4325774432229035,0.04095849155302287
DEPTHWISE_CONV_2D,6074.816666666667,44.11661419633366,0.018792423611111112,0.0008893431401976347,3.0946002238639823,0.07137941221788947
CONV_2D,12065.788425925926,232.46957816765664,0.040560409722222225,0.0011429974223902098,3.3633474865483324,0.04105933859609377
DEPTHWISE_CONV_2D,1600.6782407407406,23.90371675457155,0.007186805555555556,0.0014474796436125931,4.70079782061882,0.6733581975994665
CONV_2D,6759.224537037037,130.74299800587198,0.024288916666666667,0.001331280705610064,3.590537623690972,0.07286939717889057
DEPTHWISE_CONV_2D,2720.338425925926,29.142463057844758,0.010447268518518519,0.0013829955551901037,3.867570564914369,0.23899511733932186
CONV_2D,12205.77037037037,225.65318368520803,0.042425615740740746,0.0012859116651925025,3.4776635957955215,0.04590382334599372
AVERAGE_POOL_2D,179.2925925925926,8.356442443737686,0.0010256574074074074,0.0022374003098505203,1.0236273230518902,2.232382412460768
CONV_2D,2310.237037037037,116.13408326122247,0.009869777777777778,0.0014982215990555414,4.318509184828611,0.2409909421621328
RESHAPE,3.8666666666666667,1.1959809239157497,3.756481481481482e-05,0.00048337257547875604,0.037562288267678164,0.48333480246675614
SOFTMAX,126.08194444444445,8.557661063970837,0.0008153009259259259,0.0021386087176962854,0.8132589220049694,2.133016163975301
