Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,24008.810185185186,2812.827853498109
DEPTHWISE_CONV_2D,15293.00462962963,998.7586021401452
CONV_2D,16279.416666666666,897.057872374402
DEPTHWISE_CONV_2D,7462.648148148148,111.05777732323861
CONV_2D,11236.675925925925,557.268517441592
DEPTHWISE_CONV_2D,13245.00925925926,91.48203581703395
CONV_2D,17683.685185185186,1469.620240365392
DEPTHWISE_CONV_2D,3848.189814814815,65.00011458652979
CONV_2D,9378.99074074074,2407.928072382171
DEPTHWISE_CONV_2D,6585.236111111111,53.520113834674746
CONV_2D,16791.949074074073,888.0807396764823
DEPTHWISE_CONV_2D,2021.2592592592594,37.7697386144895
CONV_2D,10580.953703703704,1865.658382866584
DEPTHWISE_CONV_2D,2761.4861111111113,72.38362173853733
CONV_2D,18826.11574074074,2255.327049974088
DEPTHWISE_CONV_2D,2770.375,31.75110270759345
CONV_2D,18129.569444444445,2110.632701960452
DEPTHWISE_CONV_2D,3132.912037037037,35.46733817658102
CONV_2D,18009.087962962964,2122.9450296095747
DEPTHWISE_CONV_2D,3146.0925925925926,55.22152979171912
CONV_2D,17829.060185185186,2214.819199018445
DEPTHWISE_CONV_2D,2765.560185185185,34.58050306976894
CONV_2D,17665.28240740741,2037.8415071366612
DEPTHWISE_CONV_2D,869.0231481481482,17.425885951660373
CONV_2D,10729.319444444445,3161.755010303213
DEPTHWISE_CONV_2D,1477.2037037037037,22.119523494323115
CONV_2D,20260.949074074073,6215.595737530438
AVERAGE_POOL_2D,168.28240740740742,6.738423937936269
CONV_2D,10601.444444444445,1773.99138183913
RESHAPE,2.6481481481481484,0.5411718220815724
SOFTMAX,137.59722222222223,6.412501654513299
