Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,44398.34259259259,5830.593344055254
DEPTHWISE_CONV_2D,28415.097222222223,3355.6630181640357
CONV_2D,26052.291666666668,3098.1737680991946
DEPTHWISE_CONV_2D,13127.74074074074,1702.241963207098
CONV_2D,19266.074074074073,2688.8945071235053
DEPTHWISE_CONV_2D,25034.972222222223,3501.127430737909
CONV_2D,31081.597222222223,4786.96321522123
DEPTHWISE_CONV_2D,6713.009259259259,945.2273780475058
CONV_2D,17472.458333333332,5003.796995146212
DEPTHWISE_CONV_2D,12378.439814814816,1842.0314611279448
CONV_2D,31022.680555555555,4617.907180385824
DEPTHWISE_CONV_2D,3611.953703703704,462.0728735267258
CONV_2D,18564.828703703704,3898.0487121538445
DEPTHWISE_CONV_2D,5271.342592592592,695.5376306090695
CONV_2D,33185.13425925926,5525.503882296233
DEPTHWISE_CONV_2D,5261.62962962963,670.1388688671398
CONV_2D,31904.00925925926,5095.535188871271
DEPTHWISE_CONV_2D,6008.393518518518,715.3333771840553
CONV_2D,31125.24074074074,4893.887696365384
DEPTHWISE_CONV_2D,6068.4212962962965,769.3900983476176
CONV_2D,31179.47685185185,4526.095868878495
DEPTHWISE_CONV_2D,5300.75,634.309279117115
CONV_2D,31040.421296296296,4550.220242259157
DEPTHWISE_CONV_2D,1627.162037037037,189.9241969730305
CONV_2D,17713.805555555555,4655.428268198266
DEPTHWISE_CONV_2D,2837.328703703704,319.5130964541626
CONV_2D,33211.180555555555,8724.370697340979
AVERAGE_POOL_2D,327.5509259259259,30.53272681157169
CONV_2D,16479.85185185185,3132.2714551572417
RESHAPE,5.106481481481482,1.5790159352366075
SOFTMAX,283.31481481481484,234.09651571394681
