Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,24186.13888888889,2787.5498233658377
DEPTHWISE_CONV_2D,15252.523148148148,1202.212354686334
CONV_2D,16438.435185185186,1554.887397811531
DEPTHWISE_CONV_2D,7443.282407407408,98.58432593536519
CONV_2D,11292.625,521.086225825794
DEPTHWISE_CONV_2D,13195.111111111111,92.40634230811992
CONV_2D,17978.541666666668,1657.9454398734665
DEPTHWISE_CONV_2D,3833.1481481481483,235.56444485905726
CONV_2D,9865.38425925926,2640.2095956242383
DEPTHWISE_CONV_2D,6580.509259259259,455.12506411791935
CONV_2D,16989.833333333332,1594.8404221809224
DEPTHWISE_CONV_2D,2032.3425925925926,125.49521623146505
CONV_2D,10741.657407407407,1903.4889003462633
DEPTHWISE_CONV_2D,2761.1203703703704,41.815449385008804
CONV_2D,19106.087962962964,2547.305756532285
DEPTHWISE_CONV_2D,2782.087962962963,37.178954664225756
CONV_2D,18491.28240740741,2515.950913461898
DEPTHWISE_CONV_2D,3126.324074074074,61.65763127556095
CONV_2D,18355.87962962963,2498.6015726490505
DEPTHWISE_CONV_2D,3144.8055555555557,39.47173351796929
CONV_2D,18061.38888888889,2402.272312922101
DEPTHWISE_CONV_2D,2757.9768518518517,33.98902902103658
CONV_2D,17911.222222222223,2322.2109908021857
DEPTHWISE_CONV_2D,866.175925925926,20.088613277225495
CONV_2D,10973.032407407407,3259.7197794620974
DEPTHWISE_CONV_2D,1469.4907407407406,19.16690597453038
CONV_2D,20323.27314814815,6157.025594453905
AVERAGE_POOL_2D,166.7314814814815,3.921938488670663
CONV_2D,10598.361111111111,1806.8649079343736
RESHAPE,2.4305555555555554,0.5650234890779998
SOFTMAX,152.3148148148148,222.02899160662466
