Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,43752.55092592593,6063.80525446466
DEPTHWISE_CONV_2D,29505.708333333332,3440.002799730369
CONV_2D,26306.328703703704,2302.8009471378678
DEPTHWISE_CONV_2D,13737.578703703704,1390.2580273800313
CONV_2D,19474.578703703704,2080.2208690848424
DEPTHWISE_CONV_2D,25907.47685185185,2986.0345947955816
CONV_2D,31604.14351851852,4282.190359041632
DEPTHWISE_CONV_2D,7003.75,812.7189918552551
CONV_2D,17837.63425925926,4938.490134246349
DEPTHWISE_CONV_2D,12824.453703703704,1545.3451663113449
CONV_2D,31391.074074074073,4313.684689029193
DEPTHWISE_CONV_2D,3716.5925925925926,431.9666168736636
CONV_2D,19189.416666666668,3861.5405115944577
DEPTHWISE_CONV_2D,5399.634259259259,582.0346659304939
CONV_2D,33337.61574074074,4753.211922394863
DEPTHWISE_CONV_2D,5417.837962962963,595.7871051557969
CONV_2D,31975.21759259259,4823.187682461264
DEPTHWISE_CONV_2D,6113.592592592592,692.2922677736653
CONV_2D,31489.63888888889,4613.9141282171395
DEPTHWISE_CONV_2D,6146.236111111111,726.8815079907802
CONV_2D,31221.14814814815,4253.216559078845
DEPTHWISE_CONV_2D,5397.4537037037035,584.505257465492
CONV_2D,31277.11574074074,4382.080702991446
DEPTHWISE_CONV_2D,1659.8842592592594,165.57884026898387
CONV_2D,17740.85185185185,4489.583644629666
DEPTHWISE_CONV_2D,2899.625,316.9167479256039
CONV_2D,33000.180555555555,8748.254110995395
AVERAGE_POOL_2D,321.6990740740741,39.30504160332307
CONV_2D,16371.782407407407,3238.734641438453
RESHAPE,4.8657407407407405,0.6422849888162657
SOFTMAX,278.72222222222223,229.26526498446088
