Image,Inferences,Infered class,Expected class,Average Inference Time (ms)
/share/kbench/imagenet/tflite/persian_cat/n02123394_3329.bmp,1,persian cat (84.33%) ,persian_cat,553.846
/share/kbench/imagenet/tflite/persian_cat/n02123394_3152.bmp,1,persian cat (100.00%),persian_cat,543.691
/share/kbench/imagenet/tflite/persian_cat/n02123394_6048.bmp,1,persian cat (97.15%) ,persian_cat,580.7
/share/kbench/imagenet/tflite/persian_cat/n02123394_1292.bmp,1,persian cat (97.59%) ,persian_cat,467.28
/share/kbench/imagenet/tflite/persian_cat/n02123394_5905.bmp,1,persian cat (67.78%) ,persian_cat,538.755
/share/kbench/imagenet/tflite/persian_cat/n02123394_6099.bmp,1,persian cat (90.04%) ,persian_cat,587.517
/share/kbench/imagenet/tflite/persian_cat/n02123394_1826.bmp,1,persian cat (99.93%),persian_cat,549.518
/share/kbench/imagenet/tflite/persian_cat/n02123394_3786.bmp,1,persian cat (99.71%) ,persian_cat,532.975
/share/kbench/imagenet/tflite/persian_cat/n02123394_511.bmp,1,persian cat (98.95%) ,persian_cat,540.297
/share/kbench/imagenet/tflite/persian_cat/n02123394_1310.bmp,1,persian cat (99.91%),persian_cat,453.013
/share/kbench/imagenet/tflite/persian_cat/n02123394_513.bmp,1,persian cat (99.71%),persian_cat,529.713
/share/kbench/imagenet/tflite/persian_cat/n02123394_731.bmp,1,persian cat (99.99%),persian_cat,533.379
/share/kbench/imagenet/tflite/persian_cat/n02123394_10157.jpeg.bmp,1,persian cat (99.37%) ,persian_cat,552.382
/share/kbench/imagenet/tflite/persian_cat/n02123394_3183.bmp,1,persian cat (99.54%),persian_cat,568.139
/share/kbench/imagenet/tflite/persian_cat/n02123394_4299.bmp,1,persian cat (96.84%) ,persian_cat,539.9
/share/kbench/imagenet/tflite/persian_cat/n02123394_3179.bmp,1,persian cat (99.99%),persian_cat,453.191
/share/kbench/imagenet/tflite/persian_cat/n02123394_10136.bmp,1,persian cat (99.57%) ,persian_cat,574.961
/share/kbench/imagenet/tflite/persian_cat/n02123394_9083.bmp,1,persian cat (88.76%) ,persian_cat,564.236
/share/kbench/imagenet/tflite/persian_cat/n02123394_619.bmp,1,persian cat (99.82%),persian_cat,576.874
/share/kbench/imagenet/tflite/persian_cat/n02123394_5938.bmp,1,persian cat (99.96%),persian_cat,572.855
/share/kbench/imagenet/tflite/persian_cat/n02123394_1814.bmp,1,persian cat (99.98%),persian_cat,571.282
/share/kbench/imagenet/tflite/persian_cat/n02123394_1594.bmp,1,persian cat (99.04%) ,persian_cat,491.346
/share/kbench/imagenet/tflite/persian_cat/n02123394_6265.bmp,1,persian cat (81.29%) ,persian_cat,562.037
/share/kbench/imagenet/tflite/persian_cat/n02123394_2227.bmp,1,persian cat (99.38%) ,persian_cat,575.551
/share/kbench/imagenet/tflite/persian_cat/n02123394_7008.bmp,1,persian cat (69.93%) ,persian_cat,585.88
/share/kbench/imagenet/tflite/persian_cat/n02123394_1286.bmp,1,persian cat (96.92%) ,persian_cat,540.829
/share/kbench/imagenet/tflite/persian_cat/n02123394_5921.bmp,1,persian cat (99.79%) ,persian_cat,572.25
/share/kbench/imagenet/tflite/persian_cat/n02123394_3889.bmp,1,persian cat (99.81%),persian_cat,461.098
/share/kbench/imagenet/tflite/persian_cat/n02123394_3225.bmp,1,persian cat (46.09%) ,persian_cat,542.821
/share/kbench/imagenet/tflite/persian_cat/n02123394_2788.bmp,1,persian cat (99.87%),persian_cat,598.176
/share/kbench/imagenet/tflite/persian_cat/n02123394_8212.bmp,1,persian cat (99.62%) ,persian_cat,548.785
/share/kbench/imagenet/tflite/persian_cat/n02123394_2457.bmp,1,persian cat (99.71%) ,persian_cat,524.709
/share/kbench/imagenet/tflite/persian_cat/n02123394_4385.bmp,1,persian cat (99.99%),persian_cat,527.348
/share/kbench/imagenet/tflite/persian_cat/n02123394_2969.bmp,1,persian cat (100.00%),persian_cat,509.148
/share/kbench/imagenet/tflite/persian_cat/n02123394_4713.bmp,1,persian cat (99.97%),persian_cat,538.25
/share/kbench/imagenet/tflite/persian_cat/n02123394_1914.bmp,1,persian cat (99.65%) ,persian_cat,537.956
/share/kbench/imagenet/tflite/persian_cat/n02123394_2545.bmp,1,persian cat (99.78%),persian_cat,590.143
/share/kbench/imagenet/tflite/persian_cat/n02123394_2721.bmp,1,persian cat (85.05%) ,persian_cat,545.33
/share/kbench/imagenet/tflite/persian_cat/n02123394_240.bmp,1,persian cat (99.40%) ,persian_cat,524.396
/share/kbench/imagenet/tflite/persian_cat/n02123394_8172.bmp,1,persian cat (99.82%),persian_cat,549.822
/share/kbench/imagenet/tflite/persian_cat/n02123394_2555.bmp,1,persian cat (85.46%) ,persian_cat,533.082
/share/kbench/imagenet/tflite/persian_cat/n02123394_4712.bmp,1,persian cat (99.94%),persian_cat,626.712
/share/kbench/imagenet/tflite/persian_cat/n02123394_3014.bmp,1,persian cat (45.35%) ,persian_cat,578.985
/share/kbench/imagenet/tflite/persian_cat/n02123394_3808.bmp,1,persian cat (75.10%) ,persian_cat,575.933
/share/kbench/imagenet/tflite/persian_cat/n02123394_1307.bmp,1,persian cat (80.04%) ,persian_cat,452.627
/share/kbench/imagenet/tflite/persian_cat/n02123394_6551.bmp,1,persian cat (99.76%) ,persian_cat,535.86
/share/kbench/imagenet/tflite/persian_cat/n02123394_2131.bmp,1,persian cat (99.94%),persian_cat,539.633
/share/kbench/imagenet/tflite/persian_cat/n02123394_2562.bmp,1,persian cat (93.59%) ,persian_cat,571.44
/share/kbench/imagenet/tflite/persian_cat/n02123394_2507.bmp,1,persian cat (95.98%) ,persian_cat,592.855
/share/kbench/imagenet/tflite/persian_cat/n02123394_5407.bmp,1,persian cat (99.69%) ,persian_cat,540.085
/share/kbench/imagenet/tflite/persian_cat/n02123394_5638.bmp,1,persian cat (98.92%) ,persian_cat,492.984
/share/kbench/imagenet/tflite/persian_cat/n02123394_8696.bmp,1,persian cat (100.00%),persian_cat,582.565
/share/kbench/imagenet/tflite/persian_cat/n02123394_2554.bmp,1,persian cat (98.79%) ,persian_cat,559.454
/share/kbench/imagenet/tflite/persian_cat/n02123394_2080.bmp,1,persian cat (99.99%),persian_cat,595.415
/share/kbench/imagenet/tflite/persian_cat/n02123394_234.bmp,1,persian cat (99.73%) ,persian_cat,581.829
/share/kbench/imagenet/tflite/persian_cat/n02123394_10355.bmp,1,persian cat (99.97%),persian_cat,540.43
/share/kbench/imagenet/tflite/persian_cat/n02123394_4085.bmp,1,persian cat (99.99%),persian_cat,557.414
/share/kbench/imagenet/tflite/persian_cat/n02123394_1024.bmp,1,persian cat (100.00%),persian_cat,542.932
/share/kbench/imagenet/tflite/persian_cat/n02123394_2504.bmp,1,persian cat (99.16%) ,persian_cat,603.13
/share/kbench/imagenet/tflite/persian_cat/n02123394_169.bmp,1,persian cat (99.93%),persian_cat,574.842
/share/kbench/imagenet/tflite/persian_cat/n02123394_3307.bmp,1,persian cat (82.30%) ,persian_cat,564.794
/share/kbench/imagenet/tflite/persian_cat/n02123394_4650.bmp,1,persian cat (99.63%) ,persian_cat,477.196
/share/kbench/imagenet/tflite/persian_cat/n02123394_6875.bmp,1,persian cat (90.24%) ,persian_cat,539.31
/share/kbench/imagenet/tflite/persian_cat/n02123394_9020.bmp,1,persian cat (99.87%),persian_cat,575.289
/share/kbench/imagenet/tflite/persian_cat/n02123394_3756.bmp,1,persian cat (99.96%),persian_cat,539.377
/share/kbench/imagenet/tflite/persian_cat/n02123394_5914.bmp,1,persian cat (50.07%) ,persian_cat,554.907
/share/kbench/imagenet/tflite/persian_cat/n02123394_1333.bmp,1,persian cat (98.51%) ,persian_cat,547.128
/share/kbench/imagenet/tflite/persian_cat/n02123394_6376.bmp,1,persian cat (99.50%) ,persian_cat,468.437
/share/kbench/imagenet/tflite/persian_cat/n02123394_702.bmp,1,persian cat (99.89%),persian_cat,600.912
/share/kbench/imagenet/tflite/persian_cat/n02123394_7113.bmp,1,persian cat (99.53%) ,persian_cat,541.497
/share/kbench/imagenet/tflite/persian_cat/n02123394_8852.bmp,1,persian cat (100.00%),persian_cat,536.576
/share/kbench/imagenet/tflite/persian_cat/n02123394_2431.bmp,1,persian cat (98.75%) ,persian_cat,542.007
