Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,43852.60648148148,6216.314578781016
DEPTHWISE_CONV_2D,29286.78240740741,3978.6390940391198
CONV_2D,26167.171296296296,2788.754207678182
DEPTHWISE_CONV_2D,13862.851851851852,1509.0608455127094
CONV_2D,19312.46759259259,2254.001942813941
DEPTHWISE_CONV_2D,25508.162037037036,3464.369154085782
CONV_2D,31250.666666666668,4554.733546095306
DEPTHWISE_CONV_2D,7017.263888888889,880.0880110616814
CONV_2D,17706.087962962964,4897.164824770167
DEPTHWISE_CONV_2D,12761.583333333334,1682.695743525186
CONV_2D,31468.73148148148,4450.242699595744
DEPTHWISE_CONV_2D,3681.1481481481483,474.1046203266629
CONV_2D,18932.578703703704,3982.1254495128073
DEPTHWISE_CONV_2D,5366.685185185185,704.4683725538496
CONV_2D,33044.24537037037,5120.886826406873
DEPTHWISE_CONV_2D,5451.888888888889,642.8260713635465
CONV_2D,32141.824074074073,4918.287330498937
DEPTHWISE_CONV_2D,6100.449074074074,799.3352024808295
CONV_2D,30783.541666666668,4170.623939479582
DEPTHWISE_CONV_2D,6144.101851851852,758.2691967971438
CONV_2D,30808.14351851852,3926.757342231985
DEPTHWISE_CONV_2D,5420.013888888889,636.5312936298276
CONV_2D,30703.097222222223,4183.97707140782
DEPTHWISE_CONV_2D,1643.0185185185185,198.34157226031587
CONV_2D,17501.25925925926,3289.6511125108536
DEPTHWISE_CONV_2D,2875.4583333333335,385.61344601215654
CONV_2D,32531.069444444445,7779.7300867079775
AVERAGE_POOL_2D,321.89351851851853,45.136344420212275
CONV_2D,16225.217592592593,1964.6047038700378
RESHAPE,4.8657407407407405,0.7908811350776257
SOFTMAX,279.0416666666667,211.45280780958092
