Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,45186.32407407407,3915.3214683511683
DEPTHWISE_CONV_2D,30262.916666666668,357.4098338768141
CONV_2D,26615.74537037037,1549.4139169665664
DEPTHWISE_CONV_2D,14039.800925925925,204.61165157953647
CONV_2D,19840.060185185186,1323.466492421674
DEPTHWISE_CONV_2D,26667.37037037037,279.1715950673625
CONV_2D,32180.319444444445,2782.344775343482
DEPTHWISE_CONV_2D,7179.398148148148,152.10409689704923
CONV_2D,18049.935185185186,4607.727270320032
DEPTHWISE_CONV_2D,13239.231481481482,243.85997448754168
CONV_2D,32475.097222222223,2391.1813318617506
DEPTHWISE_CONV_2D,3806.5046296296296,66.67812385474528
CONV_2D,19035.26851851852,3451.3985815374244
DEPTHWISE_CONV_2D,5538.666666666667,68.73930893304495
CONV_2D,33983.03240740741,4178.951498157135
DEPTHWISE_CONV_2D,5550.791666666667,72.21776562104574
CONV_2D,32911.38425925926,4154.168079296807
DEPTHWISE_CONV_2D,6322.342592592592,78.56138930527362
CONV_2D,32179.837962962964,3629.7537255305983
DEPTHWISE_CONV_2D,6321.111111111111,75.80302609679971
CONV_2D,31741.578703703704,3268.3963268491907
DEPTHWISE_CONV_2D,5556.722222222223,89.16322250184535
CONV_2D,31684.62962962963,3679.9647255570676
DEPTHWISE_CONV_2D,1696.7314814814815,41.22950814949964
CONV_2D,17927.412037037036,4182.7483379865425
DEPTHWISE_CONV_2D,2978.310185185185,48.77253598729897
CONV_2D,33633.805555555555,8179.38674969464
AVERAGE_POOL_2D,330.3796296296296,10.775673556839337
CONV_2D,16431.199074074073,2970.962978657711
RESHAPE,5.263888888888889,4.591638098990247
SOFTMAX,286.2824074074074,230.17279914941832
