Kernel Name,Average Time (ms),Standard Deviation
CONV_2D,44196.23148148148,6325.998588433353
DEPTHWISE_CONV_2D,29250.680555555555,3652.025968021503
CONV_2D,26182.921296296296,2864.0292095665104
DEPTHWISE_CONV_2D,13640.953703703704,1536.260023227762
CONV_2D,19265.63425925926,2464.837069315282
DEPTHWISE_CONV_2D,25728.24537037037,3116.466193786739
CONV_2D,31379.74537037037,4365.4722640215605
DEPTHWISE_CONV_2D,6991.75,775.4614949129277
CONV_2D,18002.064814814814,4880.928306653144
DEPTHWISE_CONV_2D,12835.61574074074,1475.5855258206784
CONV_2D,31545.09259259259,4132.489658603352
DEPTHWISE_CONV_2D,3715.412037037037,417.5929389164615
CONV_2D,19033.53240740741,4032.867956263069
DEPTHWISE_CONV_2D,5366.152777777777,635.1086082329094
CONV_2D,33156.57407407407,4888.049984597174
DEPTHWISE_CONV_2D,5355.898148148148,659.0503049396268
CONV_2D,32040.203703703704,5148.110060010982
DEPTHWISE_CONV_2D,6101.861111111111,670.4415137075487
CONV_2D,31294.194444444445,4727.231316097728
DEPTHWISE_CONV_2D,6107.782407407408,693.5536067466173
CONV_2D,30806.01851851852,4732.236668695465
DEPTHWISE_CONV_2D,5393.648148148148,604.0833094191503
CONV_2D,30777.46759259259,4207.690785805174
DEPTHWISE_CONV_2D,1656.5833333333333,178.48351023533218
CONV_2D,17661.402777777777,4513.671190968331
DEPTHWISE_CONV_2D,2894.2638888888887,327.3610106420437
CONV_2D,33156.36574074074,8816.262121076597
AVERAGE_POOL_2D,326.1712962962963,29.988474795191536
CONV_2D,16489.90740740741,3143.8757869306532
RESHAPE,4.898148148148148,0.7193079855334057
SOFTMAX,267.74074074074076,23.973507897944028
